SchoolDepartment,ProjectTitle,Finish Time,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Social Impact Engineering,Veterans Mailers - EDDM,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",2020-07-09,17:58:00
Social Impact Engin,OMG Now What?,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy, News Writing and Editing",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Social Media Strategy",16-07-2020,15:58:00
Social Impact Engineering,Alzheimer's Conference,,rstillgoe7@seesaa.net,"News Writing and Editing, Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy, Event/Open Houses",Mohammed Fassi,"Public Outreach and Engagement, Proofreading and Quality Assurance, Graphic Design, News and Media Communication, Social Media Strategy, Website Programming",2020-07-16,16:32:00
Social Impact Engin,Essential Documents,,rstillgoe7@seesaa.net,"News Writing and Editing, Event/Open Houses, Social Media Strategy",Mohammed Fassi,"Social Media Strategy, Website Programming, Graphic Design, News and Media Communication",16-07-2020,19:53:00
Social Impact Engin,Summer 2020 newsletter,,rstillgoe7@seesaa.net,"Internal and External Communication, Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance",17-07-2020,21:22:00
Social Impact Engin,EI Virtual Screening Banner,,rstillgoe7@seesaa.net,"Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Website Programming, Graphic Design",22-07-2020,01:23:00
Social Impact Eng,Comcast advertising,,rstillgoe7@seesaa.net,"Video Editing and Production, Communication Planning/Strategy",Mohammed Fassi,"Video Editing and Production, Public Outreach and Engagement",22-07-2020,02:21:00 AM
Social Impact Engin,SV room name surveys,,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Survey Design and Data Analysis, Internal and External Communication",31-07-2020,09:32:00 PM
Social Impact Engin,Fall Prevention Awareness,,rstillgoe7@seesaa.net,"Event/Open Houses, Social Media Strategy, Graphic Design/Marketing (Brochures, Posters, Reports), News Writing and Editing",Mohammed Fassi,"Public Outreach and Engagement, News and Media Communication, Website Programming, Graphic Design, Proofreading and Quality Assurance, Public Relations",05-08-2020,09:58:00 PM
Social Impact Eng,Housing Choice Voucher flyer,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Graphic Design, Public Outreach and Engagement, Proofreading and Quality Assurance",06-08-2020,22:45:00
Social Impact Engineering,MHR rack card 2020-2021,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Technical Documentation, Graphic Design",2020-08-11,16:35:00
Social Impact Engineering,B-25 recruitment,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy, Graphic Design",2020-08-11,23:29:00
Social Impact Engin,EA Rack Card,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,,2020-08-14,04:32:00 PM
Social Impact Eng,EA Door Hanger,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",2020-08-14,04:33:00 PM
Social Impact Eng,Parent Online Resource Platform,,rstillgoe7@seesaa.net,"Website Programming, Social Media Strategy, Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Website Programming, Social Media Strategy",2020-08-15,04:37:00
Social Impact Engin,KBTC content,,rstillgoe7@seesaa.net,"Social Media Strategy, Graphic Design/Marketing (Brochures, Posters, Reports), Video Editing and Production",Mohammed Fassi,"Graphic Design, Social Media Strategy, Video Editing and Production",2020-08-15,04:53:00
Social Impact Engin,Revamp Food Bank webpage for EFN video,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Public Outreach and Engagement, Website Programming",2020-08-15,05:24:00 AM
Social Impact Eng,Falls Prevention Proclamation,,rstillgoe7@seesaa.net,Executive-Level Documentation,Mohammed Fassi,Public Outreach and Engagement,17-08-2020,03:27:00 PM
Social Impact Eng,ECEAP newsletter template,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Internal and External Communication",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance",2020-08-18,15:45:00
Social Impact Engin,VRC video,,rstillgoe7@seesaa.net,,Mohammed Fassi,,18-08-2020,19:31:00
Social Impact Engin,LTC Networking meeting,,rstillgoe7@seesaa.net,"Communication Planning/Strategy, Website Programming",Mohammed Fassi,"Public Outreach and Engagement, Website Programming",25-08-2020,16:50:00
Social Impact Eng,Sept. ADRC E-News,,rstillgoe7@seesaa.net,"Website Programming, Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Website Programming",2020-08-25,16:54:00
Social Impact Engin,BTB Covid-Expansion,,rstillgoe7@seesaa.net,"Website Programming, Communication Planning/Strategy, Data Collection Tools",Mohammed Fassi,"Survey Design and Data Analysis, Public Outreach and Engagement, Website Programming, Data Collection Tools",2020-08-26,20:23:00
Social Impact Engin,EI Outreach Flyer,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance",31-08-2020,18:25:00
Social Impact Engineering,Essential Express flyer,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Data Collection Tools",2020-09-24,17:28:00
Social Impact Eng,Aging LTC meeting Sept,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Website Programming, Public Outreach and Engagement",25-09-2020,15:54:00
Social Impact Engin,MAC_TSOA event,,rstillgoe7@seesaa.net,"Social Media Strategy, Event/Open Houses, Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming, News Writing and Editing",Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy, Graphic Design, Proofreading and Quality Assurance, News and Media Communication",26-09-2020,01:43:00 AM
Social Impact Eng,ADR appointment card,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Proofreading and Quality Assurance, Technical Documentation, Graphic Design",2020-09-29,21:57:00
Social Impact Engineering,October 2020 E Newsletter,,rstillgoe7@seesaa.net,"Communication Planning/Strategy, Website Programming",Mohammed Fassi,"Website Programming, Public Outreach and Engagement",29-09-2020,23:06:00
Social Impact Engin,Affordable Housing Operations Flyer,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Mohammed Fassi,"Proofreading and Quality Assurance, Graphic Design",2020-10-02,22:13:00
Social Impact Engin,AHO News Release,,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,"Proofreading and Quality Assurance, Writing and Editing, News and Media Communication",02-10-2020,22:14:00
Social Impact Engineering,Mobile Resource Van flyer,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",2020-10-02,10:16:00 PM
Social Impact Eng,Fall 2020 Employee Newsletter,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Internal and External Communication",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Internal and External Communication, Website Programming",02-10-2020,10:18:00 PM
Social Impact Eng,AAF Survey,,rstillgoe7@seesaa.net,"Internal and External Communication, Event/Open Houses",Mohammed Fassi,"Survey Design and Data Analysis, Internal and External Communication, Event Coordination",2020-10-07,19:49:00
Social Impact Eng,MRC Webpage,,rstillgoe7@seesaa.net,"Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Video Editing, Website Programming",2020-10-08,06:10:00 PM
Social Impact Engineering,B25 Positions Press Release,,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,News and Media Communication,2020-10-13,01:33:00
Social Impact Engineering,Social Security Benefits,,rstillgoe7@seesaa.net,"News Writing and Editing, Social Media Strategy, Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Social Media Strategy, News and Media Communication, Website Programming",15-10-2020,20:43:00
Social Impact Engin,SS Benefits 2021,,rstillgoe7@seesaa.net,"News Writing and Editing, Social Media Strategy, Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, News and Media Communication, Website Programming, Social Media Strategy",15-10-2020,20:44:00
Social Impact Engin,Alzheimer's and Driving,,rstillgoe7@seesaa.net,"News Writing and Editing, Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy, Proofreading and Quality Assurance, News and Media Communication",2020-10-15,08:46:00 PM
Social Impact Engineering,Moving Parents Home,,rstillgoe7@seesaa.net,"News Writing and Editing, Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy",Mohammed Fassi,"Social Media Strategy, Graphic Design, News and Media Communication, Website Programming",15-10-2020,08:47:00 PM
Social Impact Engineering,AAF Our Family,,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,Proofreading and Quality Assurance,16-10-2020,11:31:00 PM
Engineering Leadership and Strat,Human Trafficking 2020-2021,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,,16-10-2020,11:51:00 PM
Social Impact Engin,Family Caregiver Month,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming, Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Proofreading and Quality Assurance, Social Media Strategy",22-10-2020,12:13:00 AM
Social Impact Engineering,Community Development Think Tank event,,rstillgoe7@seesaa.net,"Event/Open Houses, Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Social Media Strategy, Website Programming",2020-10-22,12:17:00 AM
Social Impact Engineering,KBTC ads,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",2020-10-26,16:52:00
Social Impact Engin,SSHAP website,,rstillgoe7@seesaa.net,"Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Graphic Design, Public Outreach and Engagement, Website Programming",26-10-2020,16:54:00
Social Impact Engineering,MRC News Release,,rstillgoe7@seesaa.net,"News Writing and Editing, Website Programming",Mohammed Fassi,"Public Outreach and Engagement, Public Relations, News and Media Communication, Website Programming",26-10-2020,16:57:00
Social Impact Engineering,LTC meeting + E-News Nov 2020,,rstillgoe7@seesaa.net,"Website Programming, Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Website Programming",29-10-2020,23:09:00
Social Impact Engineering,Community Think Tanks,,rstillgoe7@seesaa.net,"Event/Open Houses, Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy, Video Editing and Production",03-11-2020,05:26:00 PM
Social Impact Eng,October Blog,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Public Outreach and Engagement, Proofreading and Quality Assurance, Writing and Editing, Website Programming",03-11-2020,08:33:00 PM
Social Impact Engineering,Peach Jar - winter flyer,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy, Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Social Media Strategy",04-11-2020,01:00:00
Social Impact Engineering,TFOR diagram,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",06-11-2020,01:25:00
Social Impact Eng,Conversations at the Holidays Event,,rstillgoe7@seesaa.net,"Social Media Strategy, News Writing and Editing, Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Website Programming, News and Media Communication, Social Media Strategy",2020-11-12,04:56:00 PM
Social Impact Engin,Home Repair bid webpage,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Public Outreach and Engagement, Website Programming",13-11-2020,22:57:00
Social Impact Engineering,Options: Event,,rstillgoe7@seesaa.net,"News Writing and Editing, Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming, Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy, Website Programming, News and Media Communication",2020-11-17,12:19:00 AM
Social Impact Engineering,Fantasy Lights video (energy ad),,rstillgoe7@seesaa.net,"Video Editing and Production, Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Video Editing and Production",23-11-2020,09:43:00 PM
Social Impact Eng,How To Spoil Your Retirement,,rstillgoe7@seesaa.net,"Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy, News Writing and Editing",Mohammed Fassi,"Website Programming, Social Media Strategy, Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, News and Media Communication",24-11-2020,07:41:00 PM
Social Impact Engineering,Aging & LTC - Dec 2020,,rstillgoe7@seesaa.net,"Communication Planning/Strategy, Website Programming",Mohammed Fassi,Public Outreach and Engagement,2020-11-24,07:42:00 PM
Social Impact Engineering,ADRC E-news Dec. 2020,,rstillgoe7@seesaa.net,"Communication Planning/Strategy, Website Programming",Mohammed Fassi,"Public Outreach and Engagement, Website Programming",2020-11-24,20:16:00
Social Impact Engin,2020 Social Media analytics,,rstillgoe7@seesaa.net,"Social Media Strategy, Graphic Design/Marketing (Brochures, Posters, Reports), Technical Writing",Mohammed Fassi,"Social Media Strategy, Graphic Design",2020-12-01,00:14:00
Social Impact Engineering,ADR Advisory Board flyer,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design",02-12-2020,06:35:00 PM
Social Impact Engineering,Nov. Blog,,rstillgoe7@seesaa.net,"Technical Writing, Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Writing and Editing, Proofreading and Quality Assurance",03-12-2020,05:35:00 PM
Social Impact Eng,Ombudsman Recruitment - social media,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy, Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Proofreading and Quality Assurance, Graphic Design, Technical Documentation, Social Media Strategy",03-12-2020,22:13:00
Social Impact Engin,2021 recruitment video,,rstillgoe7@seesaa.net,"Social Media Strategy, Website Programming, Video Editing and Production",Mohammed Fassi,"Public Outreach and Engagement, Proofreading and Quality Assurance, Graphic Design, Video Editing and Production, Website Programming, Social Media Strategy",04-12-2020,07:39:00 PM
Social Impact Eng,Talent Show,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Event/Open Houses, Website Programming, Data Collection Tools",Mohammed Fassi,"Graphic Design, Website Programming, Data Collection Tools, Internal and External Communication",2020-12-08,22:59:00
Social Impact Engineering,Annual ADR survey,,rstillgoe7@seesaa.net,"Technical Writing, Internal and External Communication",Mohammed Fassi,"Proofreading and Quality Assurance, Survey Design and Data Analysis, Data Collection Tools",2020-12-10,10:49:00 PM
Social Impact Engin,FCSP bus ads (part 2),,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance",2020-12-15,18:25:00
Social Impact Engin,Our Family - AAF 2021 roundup,,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Internal and External Communication, Graphic Design",16-12-2020,03:27:00
Legal & Compliance Engineering,CARES advertising for ERP,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy, Social Media Strategy, Website Programming, Public Relations",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Social Media Strategy",17-12-2020,18:38:00
Engineering Leadership & Strategy,2021 Anti-Human Trafficking Campaign,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy, Social Media Strategy, Video Editing and Production",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Social Media Strategy, Video Editing and Production",18-12-2020,23:57:00
Social Impact Engin,Update ADRC subscriber lists,,rstillgoe7@seesaa.net,"Data Collection Tools, Communication Planning/Strategy, Website Programming",Mohammed Fassi,"Public Outreach and Engagement, Website Programming, Data Collection Tools",2020-12-19,01:08:00 AM
Social Impact Engineering,2021 Winter Employee Newsletter,,rstillgoe7@seesaa.net,"Internal and External Communication, Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Website Programming, Internal and External Communication",24-12-2020,01:12:00 AM
Social Impact Eng,ADRC e-news/ALTC agenda,,rstillgoe7@seesaa.net,"Communication Planning/Strategy, Website Programming",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Website Programming",30-12-2020,06:13:00 PM
Social Impact Eng,Sewer inserts,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,,30-12-2020,19:26:00
Social Impact Engineering,Veterans CARES survey,,rstillgoe7@seesaa.net,"Website Programming, Communication Planning/Strategy",Mohammed Fassi,"Survey Design and Data Analysis, Public Outreach and Engagement, Website Programming",07-01-2021,17:19:00
Social Impact Engineering,Talking to your Doctor - Feb 2021,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), News Writing and Editing, Social Media Strategy, Event/Open Houses",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Social Media Strategy",11-01-2021,19:40:00
Social Impact Engin,Funerals - feb 2021,,rstillgoe7@seesaa.net,"Website Programming, Communication Planning/Strategy, News Writing and Editing, Social Media Strategy, Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Social Media Strategy, News and Media Communication",2021-01-11,19:58:00
Social Impact Engin,Energy Marketing Plan 2021,,rstillgoe7@seesaa.net,Communication Planning/Strategy,Mohammed Fassi,"Public Outreach and Engagement, Internal and External Communication",2021-01-12,07:58:00 PM
Social Impact Engin,B25 Flyer - Tribal Membership,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design",13-01-2021,08:53:00 PM
Social Impact Eng,Homeless Programs webpage,,rstillgoe7@seesaa.net,"Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Website Programming",2021-01-13,22:38:00
Social Impact Engineering,LTCO website,,rstillgoe7@seesaa.net,"Website Programming, Communication Planning/Strategy",Mohammed Fassi,Website Programming,2021-01-21,10:00:00 PM
Social Impact Engin,Community Think Tank Summary Event,,rstillgoe7@seesaa.net,"Event/Open Houses, Social Media Strategy, Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy",22-01-2021,18:45:00
Social Impact Eng,ADR Board Recruitment  - Ads,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy, Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Social Media Strategy",25-01-2021,09:56:00 PM
Social Impact Engineering,An Ounce of Prevention,,rstillgoe7@seesaa.net,"Website Programming, Social Media Strategy, News Writing and Editing",Mohammed Fassi,"Graphic Design, Public Outreach and Engagement, Social Media Strategy, News and Media Communication, Website Programming",26-01-2021,09:20:00 PM
Social Impact Engin,Normal Aging vs. Dementia,,rstillgoe7@seesaa.net,"Website Programming, News Writing and Editing, Social Media Strategy, Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Website Programming, News and Media Communication, Social Media Strategy",2021-01-26,21:21:00
Social Impact Eng,LTC networking - feb 2021,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,Website Programming,2021-01-28,09:10:00 PM
Social Impact Engin,ADRC E News - Feb 2021,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,Website Programming,2021-01-28,21:10:00
Social Impact Engin,Dotting I's and Crossing T's event,,rstillgoe7@seesaa.net,"Website Programming, News Writing and Editing, Social Media Strategy, Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,,29-01-2021,02:48:00
Social Impact Engin,LTC flyer update,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",04-02-2021,17:04:00
Social Impact Engineering,Caregiver Conference website set up,,rstillgoe7@seesaa.net,"Communication Planning/Strategy, Event/Open Houses, Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Event Coordination, Website Programming",04-02-2021,10:40:00 PM
Social Impact Engineering,Recovery Story,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Public Outreach and Engagement, Website Programming, Proofreading and Quality Assurance",05-02-2021,17:24:00
Social Impact Engineering,Social Security Disability,,rstillgoe7@seesaa.net,"Event/Open Houses, Social Media Strategy, News Writing and Editing, Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Mohammed Fassi,"Public Outreach and Engagement, Proofreading and Quality Assurance, News and Media Communication, Website Programming, Social Media Strategy",05-02-2021,18:57:00
Social Impact Engin,Senior Scene Advertising,,rstillgoe7@seesaa.net,"Communication Planning/Strategy, Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,,05-02-2021,07:00:00 PM
Social Impact Eng,PCHS presentation templates,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Graphic Design, Presentation Design",2021-02-10,22:36:00
Social Impact Engineering,Landlord Postcard - RA21,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design",16-02-2021,07:06:00 PM
Social Impact Engin,0-3 child notice form,,rstillgoe7@seesaa.net,Data Collection Tools,Mohammed Fassi,"Proofreading and Quality Assurance, Data Collection Tools",17-02-2021,07:13:00 PM
Social Impact Eng,2021 Rental Assistance flyers,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Technical Documentation, Public Outreach and Engagement, Graphic Design",18-02-2021,01:17:00 AM
Social Impact Eng,Retirement Connection,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy",Mohammed Fassi,"Graphic Design, Public Outreach and Engagement",18-02-2021,01:19:00 AM
Social Impact Engineering,PCHS Virtual Guide,,rstillgoe7@seesaa.net,"Internal and External Communication, Technical Writing",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance",2021-02-18,22:59:00
Social Impact Eng,ACAC social media posts,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy, Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy, Graphic Design",2021-02-22,22:10:00
Social Impact Engin,2021 PIT results,,rstillgoe7@seesaa.net,"Communication Planning/Strategy, Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy",Mohammed Fassi,"Graphic Design, Website Programming",2021-02-24,01:14:00 AM
Social Impact Eng,Unboxed or Boxed,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming, Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Website Programming",2021-03-01,21:24:00
Engineering Leadership and Strat,Challenge Coin,,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,Graphic Design,16-11-2017,18:13:00
Financial Enginering,P-Card Intranet Page,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Graphic Design, Website Programming",2018-01-23,17:18:00
Technical Communication & Media,Project Tracking Tool,,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,,24-01-2018,07:20:00 PM
Financal Engineering,Spring Healthy Connection Wellness Newsletter,,jbeney8@unesco.org,"Printed Material (Posters, Brochures, Reports)",Rachid Khattabi,,2018-03-20,11:06:00 PM
Governance & Policy Studies,council civic plus form addition,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,,2018-03-23,19:38:00
Financal Engineering,2018 Wellness Challenge,,jbeney8@unesco.org,"Printed Material (Posters, Brochures, Reports)",Rachid Khattabi,"Internal and External Communication, Graphic Design, Website Programming",2018-04-06,21:07:00
Financial Enginering,New email and website addresses for Pierce County starting May 19,,jbeney8@unesco.org,Internal and External Communication,Rachid Khattabi,Internal and External Communication,2018-04-26,10:23:00 PM
Partnerships and External Collabor,Invitation to Municipal Court judge swearing-in ceremony,,jbeney8@unesco.org,Internal and External Communication,Rachid Khattabi,Proofreading and Quality Assurance,09-01-2019,11:01:00 PM
Industrial and Systems Eng,Redesign Economic Development website,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,20-02-2019,07:19:00 PM
Regulatory Engineering,Update website with new prosecutor information,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,,2019-05-10,22:39:00
Legal & Compliance Engineering,Superior Court Annual Report,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,,2019-05-10,10:41:00 PM
Financal Engineering,Update Budget Website,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,,2019-05-10,10:42:00 PM
Eng Leadership and Strategy,Executive Department Outreach Material/SWAG,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,"Graphic Design, Technical Documentation",10-05-2019,10:45:00 PM
Tech Communication and Media,Tier 2 Department Dashboard,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,2019-05-10,22:46:00
Security Systems Engineering,Sheriff's Annual Report,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,,2019-05-10,10:47:00 PM
Urban Planning and Public Infrastr,Ferry Website Redesign,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,10-05-2019,22:48:00
Social Impact Eng,Online Point in Time Count Survey,,jbeney8@unesco.org,Event Management and Logistics,Rachid Khattabi,"Public Outreach and Engagement, Website Programming",2019-05-10,22:56:00
Financial Enginering,Pierce County Pets Migration to new Site,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Graphic Design, Website Programming",13-05-2019,15:56:00
Youth Outreach and Training,Juvenile Court Equity Team,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,,2019-05-13,15:58:00
Youth Outreach and Training,Juvenile Court Referral Form,,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,Website Programming,13-05-2019,16:02:00
